2016-04-20 22:08:33 status half-installed libpam0g:armhf 1.1.8-3.2ubuntu2
2016-04-20 22:08:33 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2016-04-20 22:08:33 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2016-04-20 22:08:34 install libpcre3:armhf <none> 2:8.38-3.1
2016-04-20 22:08:34 status half-installed libpcre3:armhf 2:8.38-3.1
2016-04-20 22:08:34 status unpacked libpcre3:armhf 2:8.38-3.1
2016-04-20 22:08:34 status unpacked libpcre3:armhf 2:8.38-3.1
2016-04-20 22:08:34 install libprocps4:armhf <none> 2:3.3.10-4ubuntu2
2016-04-20 22:08:34 status half-installed libprocps4:armhf 2:3.3.10-4ubuntu2
2016-04-20 22:08:34 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2016-04-20 22:08:34 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2016-04-20 22:08:35 install libseccomp2:armhf <none> 2.2.3-3ubuntu3
2016-04-20 22:08:35 status half-installed libseccomp2:armhf 2.2.3-3ubuntu3
2016-04-20 22:08:35 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2016-04-20 22:08:35 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2016-04-20 22:08:35 install libselinux1:armhf <none> 2.4-3build2
2016-04-20 22:08:35 status half-installed libselinux1:armhf 2.4-3build2
2016-04-20 22:08:35 status unpacked libselinux1:armhf 2.4-3build2
2016-04-20 22:08:35 status unpacked libselinux1:armhf 2.4-3build2
2016-04-20 22:08:35 install libsemanage-common:all <none> 2.3-1build3
2016-04-20 22:08:35 status half-installed libsemanage-common:all 2.3-1build3
2016-04-20 22:08:36 status unpacked libsemanage-common:all 2.3-1build3
2016-04-20 22:08:36 status unpacked libsemanage-common:all 2.3-1build3
2016-04-20 22:08:36 install libsemanage1:armhf <none> 2.3-1build3
2016-04-20 22:08:36 status half-installed libsemanage1:armhf 2.3-1build3
2016-04-20 22:08:36 status unpacked libsemanage1:armhf 2.3-1build3
2016-04-20 22:08:36 status unpacked libsemanage1:armhf 2.3-1build3
2016-04-20 22:08:36 install libsepol1:armhf <none> 2.4-2
2016-04-20 22:08:36 status half-installed libsepol1:armhf 2.4-2
2016-04-20 22:08:37 status unpacked libsepol1:armhf 2.4-2
2016-04-20 22:08:37 status unpacked libsepol1:armhf 2.4-2
2016-04-20 22:08:37 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2016-04-20 22:08:37 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2016-04-20 22:08:37 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2016-04-20 22:08:37 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2016-04-20 22:08:37 install libss2:armhf <none> 1.42.13-1ubuntu1
2016-04-20 22:08:37 status half-installed libss2:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:38 status unpacked libss2:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:38 status unpacked libss2:armhf 1.42.13-1ubuntu1
2016-04-20 22:08:38 install libsystemd0:armhf <none> 229-4ubuntu4
2016-04-20 22:08:38 status half-installed libsystemd0:armhf 229-4ubuntu4
2016-04-20 22:08:38 status unpacked libsystemd0:armhf 229-4ubuntu4
2016-04-20 22:08:38 status unpacked libsystemd0:armhf 229-4ubuntu4
2016-04-20 22:08:38 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2016-04-20 22:08:38 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2016-04-20 22:08:38 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2016-04-20 22:08:39 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2016-04-20 22:08:39 install libudev1:armhf <none> 229-4ubuntu4
2016-04-20 22:08:39 status half-installed libudev1:armhf 229-4ubuntu4
2016-04-20 22:08:39 status unpacked libudev1:armhf 229-4ubuntu4
2016-04-20 22:08:39 status unpacked libudev1:armhf 229-4ubuntu4
2016-04-20 22:08:39 install libustr-1.0-1:armhf <none> 1.0.4-5
2016-04-20 22:08:39 status half-installed libustr-1.0-1:armhf 1.0.4-5
2016-04-20 22:08:40 status unpacked libustr-1.0-1:armhf 1.0.4-5
2016-04-20 22:08:40 status unpacked libustr-1.0-1:armhf 1.0.4-5
2016-04-20 22:08:40 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2016-04-20 22:08:40 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2016-04-20 22:08:40 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2016-04-20 22:08:40 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2016-04-20 22:08:40 install locales:all <none> 2.23-0ubuntu3
2016-04-20 22:08:40 status half-installed locales:all 2.23-0ubuntu3
2016-04-20 22:08:42 status unpacked locales:all 2.23-0ubuntu3
2016-04-20 22:08:43 status unpacked locales:all 2.23-0ubuntu3
2016-04-20 22:08:43 install login:armhf <none> 1:4.2-3.1ubuntu5
2016-04-20 22:08:43 status half-installed login:armhf 1:4.2-3.1ubuntu5
2016-04-20 22:08:43 status unpacked login:armhf 1:4.2-3.1ubuntu5
2016-04-20 22:08:43 status unpacked login:armhf 1:4.2-3.1ubuntu5
2016-04-20 22:08:44 install lsb-base:all <none> 9.20160110
2016-04-20 22:08:44 status half-installed lsb-base:all 9.20160110
2016-04-20 22:08:44 status unpacked lsb-base:all 9.20160110
2016-04-20 22:08:44 status unpacked lsb-base:all 9.20160110
2016-04-20 22:08:44 install makedev:all <none> 2.3.1-93ubuntu1
2016-04-20 22:08:44 status half-installed makedev:all 2.3.1-93ubuntu1
